Time,Block,NR/2024/21279/A/25079,NR/30092023/31122025/SH-07,NR/2024/21108/A/25133,NR/2024/21153/A/24840,NR/2024/21099/A/25007,NR/2024/21023/A/24852,NR/2024/21089/A/25120,NR/2024/20877/A/25146,NR/01072024/04072024/1000011434-JITPL-BRPL(DISCOM),NR/2024/20688/A/24873,NR/2024/21096/A/25139,NR/2024/21238/A/25165,NR/2024/21103/A/25137,NR/2024/21072/A/25121,NR/2024/21173/A/24871,NR/2024/20574/A/24930,NR/2024/21113/A/25119,NR/2024/21227/A/25136,NR/2024/21303/C,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/20930/A/25074,NR/2024/21152/A/24795,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21243/A/24901,NR/2024/20573/A/24924,NR/2024/21304/C,NR/2024/21062/A/24944,NR/2024/21104/A/25135,NR/30092023/26122029/SH-06,NR/2024/21160/A/24836,NR/2024/21305/C,NR/2024/21210/A/24993,NR/2024/21302/C,NR/2024/21322/C,NR/2024/20711/A/25087,NR/2024/21186/A/25145,NR/2024/21148/A/24837,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21311/C,NR/2024/21076/A/25159,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/R2,NR/2024/21183/A/25163,NR/2024/21146/A/24838,NR/2024/21199/A/24864,NR/2024/21313/C,NR/2024/21075/A/25164,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/19779/A/24968,NR/2024/21087/A/24872,NR/2024/21141/A/25000,NR/2024/21142/A/24996,NR/2024/21159/A/24874,NR/2024/21158/A/24842,NR/2024/20966/A/24796,NR/2024/21150/A/24839,NR/2024/21156/A/24841,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21333/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
29,07:00-07:15,0.000000,26.320000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.770000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.300000,0,0,2048.06

30,07:15-07:30,0.000000,26.320000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.770000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.300000,0,0,2048.06

31,07:30-07:45,0.000000,26.320000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.770000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.300000,0,0,2048.06

32,07:45:08:00,0.000000,26.320000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.770000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.300000,0,0,2048.06

33,08:00-08:15,96.390000,26.910000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,8.680000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.120000,0,0,2044.54

34,08:15-08:30,96.390000,26.910000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,8.680000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.120000,0,0,2044.54

35,08:30-08:45,96.390000,26.910000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,8.680000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.120000,0,0,2092.74

36,08:45:09:00,96.390000,26.910000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,8.680000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.120000,0,0,2092.74

37,09:00:09:15,96.390000,26.910000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,9.640000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.940000,0,0,2093.52

38,09:15-09:30,96.390000,26.910000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,9.640000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.940000,0,0,2093.52

39,09:30-09:45,96.390000,26.910000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,9.640000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.940000,0,0,2093.52

40,09:45-10:00,96.390000,26.910000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,9.640000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.940000,0,0,2093.52

41,10:00-10:15,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.740000,0,0,2094.51

42,10:15-10:30,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.740000,0,0,2094.51

43,10:30-10:45,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.740000,0,0,2094.51

44,10:45-11:00,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.740000,0,0,2094.51

45,11:00-11:15,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.740000,0,0,2094.51

46,11:15-11:30,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.740000,0,0,2094.51

47,11:30-11:45,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,4.29,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.740000,0,0,2098.8

48,11:45-12:00,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.77,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.740000,0,0,2096.28

49,12:00-12:15,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,2.18,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,13.160000,0,0,2093.11

50,12:15-12:30,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,2.13,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,13.160000,0,0,2093.06

51,12:30-12:45,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.57,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,13.160000,0,0,2092.5

52,12:45-13:00,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,2.12,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,13.160000,0,0,2093.05

53,13:00-13:15,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0.35,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,12.530000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,13.160000,0,0,2092.24

54,13:15-13:30,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0.82,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,12.530000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,13.160000,0,0,2092.71

55,13:30-13:45,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.02,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,12.530000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,13.160000,0,0,2092.91

56,13:45-14:00,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.36,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,12.530000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,13.160000,0,0,2093.25

57,14:00-14:15,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0.65,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.380000,0,0,2094.8

58,14:15-14:30,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.23,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.380000,0,0,2095.38

59,14:30-14:45,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.31,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.380000,0,0,2095.46

60,14:45-15:00,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.96,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.380000,0,0,2096.11

61,15:00-15:15,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,2.64,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.660000,0,0,2097.07

62,15:15-15:30,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,2.22,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.660000,0,0,2096.65

63,15:30-15:45,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.69,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.660000,0,0,2096.12

64,15:45-16:00,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.38,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.960000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,16.660000,0,0,2095.81

65,16:00-16:15,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.870000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.020000,0,0,2095.7

66,16:15-16:30,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0.75,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.870000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.020000,0,0,2095.45

