Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
11:30 - 11:45,30.89,62.74,0.00,9.65,-23.00,0.00,154.46
11:45 - 12:00,15.44,56.95,0.00,10.62,-21.00,0.00,149.63
12:00 - 12:15,-59.00,44.40,0.00,10.62,-20.00,0.00,135.14
12:15 - 12:30,-56.00,54.06,0.00,10.62,-18.00,0.00,154.44
12:30 - 12:45,-66.00,50.20,0.00,8.69,-16.00,0.00,154.44
12:45 - 13:00,-51.00,58.88,0.00,8.69,-16.00,0.00,173.76
13:00 - 13:15,21.24,88.81,0.00,8.69,-16.00,0.00,106.17
13:15 - 13:30,14.48,79.15,0.00,8.69,-18.00,0.00,96.53
13:30 - 13:45,56.95,65.64,0.00,8.69,-16.00,0.00,149.62
13:45 - 14:00,74.33,73.36,0.00,8.69,-16.00,0.00,154.45
14:00 - 14:15,13.51,77.22,-0.50,10.62,-14.00,0.00,86.88
14:15 - 14:30,32.82,79.15,-0.50,10.62,-13.00,0.00,130.32
14:30 - 14:45,55.02,84.95,-0.50,10.62,-10.00,0.00,135.14
14:45 - 15:00,56.95,80.12,-0.50,10.62,-9.00,0.00,130.32
15:00 - 15:15,93.63,76.26,-0.50,13.51,-10.00,0.00,173.76
15:15 - 15:30,117.77,81.09,-0.50,13.51,-12.00,0.00,173.75
15:30 - 15:45,111.97,134.18,-0.50,13.51,-15.00,0.00,202.72
15:45 - 16:00,105.22,138.04,-0.50,13.51,-20.00,0.00,207.54
16:00 - 16:15,-5.00,174.72,-0.50,15.44,-27.00,0.00,242.29
16:15 - 16:30,-27.00,191.13,-0.50,14.48,-28.00,0.00,231.67
16:30 - 16:45,-13.00,84.95,-0.50,13.51,-33.00,0.00,228.78
16:45 - 17:00,-15.00,81.09,-0.50,12.55,-40.00,0.00,216.22
17:00 - 17:15,-27.00,100.39,-0.50,17.38,-5.00,0.00,130.31
17:15 - 17:30,5.79,103.29,-0.50,17.38,-5.00,0.00,135.14
17:30 - 17:45,11.58,107.16,-0.50,16.41,-20.00,0.00,77.22
17:45 - 18:00,8.69,110.05,-0.50,15.73,-34.00,0.00,67.57
18:00 - 18:15,-133.00,88.81,-0.50,16.41,-42.00,0.00,24.13
18:15 - 18:30,-150.00,112.94,-0.50,16.41,-54.00,0.00,24.13
18:30 - 18:45,122.59,102.32,-0.50,17.38,-18.00,0.00,135.14
18:45 - 19:00,100.39,216.23,-0.50,17.86,-17.00,0.00,106.18
19:00 - 19:15,77.79,76.93,-0.50,16.25,-19.00,-25.00,72.66
19:15 - 19:30,41.81,62.70,-0.50,13.59,-19.00,-25.00,27.87
19:30 - 19:45,57.49,63.71,-0.50,10.36,-21.00,-25.00,51.80
19:45 - 20:00,54.80,61.28,-0.50,10.21,-21.00,-25.00,74.73
20:00 - 20:15,30.06,64.12,-0.50,13.70,-22.00,-25.00,80.15
20:15 - 20:30,32.02,64.04,-0.50,13.68,-23.00,-25.00,80.04
20:30 - 20:45,36.27,36.27,-0.50,14.51,-26.00,-25.00,43.52
20:45 - 21:00,47.48,46.69,-0.50,15.17,-25.00,-25.00,38.91
21:00 - 21:15,42.47,78.19,-0.50,18.34,-20.00,-25.00,57.92
21:15 - 21:30,44.40,83.98,-0.50,17.86,-20.00,0.00,38.61
21:30 - 21:45,96.12,60.30,-0.50,16.96,-17.00,-25.00,18.84
21:45 - 22:00,111.01,64.40,-0.50,14.83,-21.00,-25.00,25.43
22:00 - 22:15,158.67,97.93,-0.50,15.42,-34.00,-25.00,27.20
22:15 - 22:30,161.66,105.34,-0.50,14.98,-40.00,-25.00,27.24
22:30 - 22:45,180.52,140.93,-0.50,15.44,-49.00,0.00,38.61
22:45 - 23:00,177.62,153.48,-0.50,14.96,-50.00,0.00,38.61
23:00 - 23:15,164.10,176.64,-0.50,14.00,-49.00,0.00,37.65
23:15 - 23:30,170.86,184.38,-0.50,13.51,-46.00,0.00,40.54
23:30 - 23:45,158.75,184.42,-0.50,12.83,-46.00,-25.00,61.79
23:45 - 24:00,151.55,179.55,-0.50,12.55,-45.00,0.00,62.74
