Time,Block,NR/2024/21061/C,NR/2024/19355/A/23837,NR/2024/20048/A/23664,NR/2024/20109/A/23836,NR/2024/21064/C,NR/2024/20041/A/23668,NR/2024/20540/A/23323,NR/2024/19779/A/23456,NR/2024/20141/A/23591,NR/2024/19757/A/23988,NR/2024/21019/C,NR/2024/20599/A/23489,NR/2024/19588/A/23582,NR/2024/20572/A/23981,NR/2024/20557/A/23984,NR/2024/20130/A/23848,NR/2024/20558/A/23983,NR/2024/19642/A/24003,NR/2024/20513/A/23596,NR/2024/19637/A/23607,NR/2024/20144/A/23590,NR/2024/20037/A/23491,NR/2024/19475/A/23842,NR/2024/21097/C,NR/2024/19966/A/23588,NR/2024/20537/A/23831,NR/2024/20142/A/23589,NR/2024/19988/A/23493,NR/2024/20777/A/23485,NR/2024/19683/A/23549,NR/2024/20050/A/23662,NR/2024/19978/A/23944,NR/2024/19919/A/23936,NR/2024/19432/A/23992,NR/2024/20560/A/23982,NR/2024/19918/A/23941,NR/2024/20090/A/23532,NR/2024/19699/A/23990,NR/2024/19640/A/24002,NR/2024/20553/A/23528,NR/2024/19760/A/23495,NR/2024/19791/A/23947,NR/2024/20597/A/23660,NR/2024/20211/A/23592,NR/2024/20524/A/23866,NR/2024/20212/A/23593,NR/2024/20552/A/23529,NR/2024/20554/A/23425,NR/2024/21063/C,NR/2024/20516/A/23594,NR/2024/20515/A/23595,NR/2024/20598/A/23487,Total
39,09:30-09:45,5.88,96.470000,0.000000,183.290000,24.120000,48.240000,9.650000,0.960000,0.350000,242.870000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1945.85

40,09:45-10:00,6.64,96.470000,0.000000,183.290000,24.120000,48.240000,9.650000,0.960000,0.350000,242.870000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1946.61

41,10:00-10:15,7.81,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2088.64

42,10:15-10:30,8.32,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2089.15

43,10:30-10:45,5.97,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2086.8

44,10:45-11:00,6.6,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2087.43

45,11:00-11:15,7.89,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2088.72

46,11:15-11:30,8.46,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2089.29

47,11:30-11:45,7.22,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2088.05

48,11:45-12:00,4.38,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2085.21

49,12:00-12:15,6.23,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2100.57

50,12:15-12:30,6.17,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2100.51

51,12:30-12:45,8.06,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2102.4

52,12:45-13:00,6.67,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2101.01

53,13:00-13:15,5.17,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2099.51

54,13:15-13:30,7.46,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2101.8

55,13:30-13:45,4.15,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2098.49

56,13:45-14:00,3.07,96.470000,0.000000,183.290000,24.120000,48.240000,11.580000,0.960000,0.350000,242.870000,1.930000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,2097.41

57,14:00-14:15,6.66,96.470000,0.000000,183.290000,24.120000,48.240000,13.510000,0.960000,0.350000,48.600000,0.000000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,1906.73

58,14:15-14:30,5.86,96.470000,0.000000,183.290000,24.120000,48.240000,13.510000,0.960000,0.350000,48.600000,0.000000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,1905.93

59,14:30-14:45,6.76,96.470000,0.000000,183.290000,24.120000,48.240000,13.510000,0.960000,0.350000,48.600000,0.000000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,1906.83

60,14:45-15:00,2.88,96.470000,0.000000,183.290000,24.120000,48.240000,13.510000,0.960000,0.350000,48.600000,0.000000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,1902.95

61,15:00-15:15,1.83,96.470000,0.000000,183.290000,24.120000,48.240000,13.510000,0.960000,0.350000,48.600000,0.000000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,1901.9

62,15:15-15:30,2.62,96.470000,0.000000,183.290000,24.120000,48.240000,13.510000,0.960000,0.350000,48.600000,0.000000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,1902.69

63,15:30-15:45,2.72,96.470000,0.000000,183.290000,24.120000,48.240000,13.510000,0.960000,0.350000,48.600000,0.000000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,9.330000,1888

64,15:45-16:00,2.62,96.470000,0.000000,183.290000,24.120000,48.240000,13.510000,0.960000,0.350000,48.600000,0.000000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,9.330000,1887.9

65,16:00-16:15,2.58,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.820000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,1743.31

66,16:15-16:30,3.13,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.820000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,1743.86

67,16:30-16:45,2.92,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.820000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,1743.65

68,16:45-17:00,3.54,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.820000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,24.120000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,24.120000,1744.27

69,17:00-17:15,2.23,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1694.67

70,17:15-17:30,0.64,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1693.08

71,17:30-17:45,0.66,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1693.1

72,17:45-18:00,0.24,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1692.68

73,18:00-18:15,0.11,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1777.3

74,18:15-18:30,0,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1777.19

75,18:30-18:45,0,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1703.89

76,18:45-19:00,0.12,96.470000,0.000000,183.290000,24.120000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,57.880000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1704.01

77,19:00-19:15,0,96.470000,0.000000,241.180000,0.000000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1679.78

78,19:15-19:30,0,96.470000,0.000000,241.180000,0.000000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1679.78

79,19:30-19:45,0,96.470000,0.000000,241.180000,0.000000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1679.78

80,19:45-20:00,0,96.470000,0.000000,241.180000,0.000000,0.000000,12.540000,0.770000,0.350000,48.600000,0.960000,24.120000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,67.530000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1679.78

81,20:00-20:15,0,96.470000,0.000000,241.180000,0.000000,0.000000,11.580000,0.770000,0.350000,48.600000,1.930000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,1732.85

82,20:15-20:30,0,96.470000,0.000000,241.180000,0.000000,0.000000,11.580000,0.770000,0.350000,48.600000,1.930000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,1732.85

83,20:30-20:45,0,96.470000,0.000000,241.180000,0.000000,0.000000,11.580000,0.770000,0.350000,48.600000,1.930000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,1732.85

84,20:45-21:00,0,96.470000,0.000000,241.180000,0.000000,0.000000,11.580000,0.770000,0.350000,48.600000,1.930000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,1732.85

85,21:00-21:15,0,96.470000,0.000000,241.180000,0.000000,0.000000,11.580000,0.770000,0.350000,48.600000,0.000000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,1730.92

86,21:15-21:30,0,96.470000,0.000000,241.180000,0.000000,0.000000,11.580000,0.770000,0.350000,48.600000,0.000000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,1730.92

