Block,Time,NR/16042024/31052024/IEX_240323_06618,NR/30092023/26122029/SH-06,NR/01052024/31052024/DC20240501NR23735,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01052024/31052024/MC120240501NR23436,NR/01052024/31052024/DC20240501NR23727,NR/01102023/06022042/L_NR_2012_02,NR/01042024/31072024/LT_MEJA_DELHI,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/IEX-240324-06625_1,NR/01052024/31052024/2-R1,NR/01052024/31052024/IEX_240416_00120_1,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01052024/31052024/DC20240501NR23726,NR/01102023/23072042/L_NR_2012_04,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/IEX-240323-06617_1,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/DC20240501NR23728,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2020_06,NR/01102023/22052037/LT-59,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13
6,01:15-01:30,48.370000,30.960000,0.000000,30.960000,27.750000,14.400000,14.510000,5.800000,259.800000,16.100000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.390000,4.840000,0.000000,0.000000,0.000000,86.610000,6.330000,19.350000,48.370000,24.180000,6.770000,0,29.090000,74,0,18.34,116.030000,0.000000,24.67,0,53.33,0,53.33,9.21,100.780000,24.66,5.140000,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,48.370000,30.960000,0.000000,30.960000,27.750000,14.400000,14.510000,5.800000,259.800000,16.100000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.390000,4.840000,0.000000,0.000000,0.000000,86.610000,6.330000,19.350000,48.370000,24.180000,6.770000,0,29.090000,62.5,0,18.34,116.030000,0.000000,20.83,0,53.33,0,53.33,9.61,100.780000,20.84,5.060000,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,48.370000,30.960000,0.000000,30.960000,27.750000,14.400000,14.510000,5.800000,259.800000,16.100000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.390000,4.840000,0.000000,0.000000,0.000000,86.610000,6.330000,19.350000,48.370000,24.180000,6.770000,0,29.090000,63,0,18.34,116.030000,0.000000,21,0,53.33,0,53.33,10.41,100.780000,21,5.060000,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,48.370000,30.960000,0.000000,30.960000,27.750000,14.320000,14.510000,5.800000,259.800000,15.830000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,86.610000,6.140000,19.350000,48.370000,24.180000,6.770000,0,29.090000,64,0,18.34,116.030000,0.000000,21.33,0,53.33,0,53.33,11.81,100.780000,21.34,5.060000,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,48.370000,30.960000,0.000000,30.960000,27.750000,14.320000,14.510000,5.800000,259.800000,15.830000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,86.610000,6.140000,19.350000,48.370000,24.180000,6.770000,0,29.090000,65,0,18.34,116.030000,0.000000,21.67,0,53,0,53,12.41,100.780000,21.66,5.060000,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,48.370000,30.960000,0.000000,30.960000,27.750000,14.320000,14.510000,5.800000,259.800000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,86.610000,6.140000,19.350000,48.370000,24.180000,6.770000,0,29.090000,57.5,0,16,116.030000,0.000000,19.17,0,48.33,0,48.33,9.61,100.780000,19.16,5.060000,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,48.370000,30.960000,0.000000,30.960000,27.750000,14.320000,14.510000,5.800000,259.800000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,86.610000,6.140000,19.350000,48.370000,24.180000,6.770000,0,29.090000,59,0,16,116.030000,0.000000,19.67,0,47.67,0,47.67,9.81,100.780000,19.66,5.060000,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,48.370000,30.960000,0.000000,30.960000,29.260000,14.220000,14.510000,5.800000,259.800000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,86.610000,6.140000,19.350000,48.370000,24.180000,6.770000,0,29.090000,60,0,15.66,116.030000,0.000000,20,0,47.33,0,47.33,10.21,100.780000,20,4.900000,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,48.370000,30.960000,0.000000,30.960000,29.260000,14.220000,14.510000,5.800000,259.800000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,86.610000,6.140000,19.350000,48.370000,24.180000,6.770000,0,29.090000,60.5,0,15.34,116.030000,0.000000,20.17,0,47,0,47,10.61,100.780000,20.16,4.900000,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,48.370000,25.510000,0.000000,25.510000,29.260000,14.220000,14.510000,5.800000,262.650000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,87.260000,6.140000,19.350000,48.370000,24.180000,6.770000,0,29.090000,55,0,15,116.030000,0.000000,18.33,0,49.67,0,49.67,11.01,100.780000,18.34,4.900000,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,48.370000,25.510000,0.000000,25.510000,29.260000,14.220000,14.510000,5.800000,262.650000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,87.260000,6.140000,19.350000,48.370000,24.180000,6.770000,0,29.090000,54,0,15,116.030000,0.000000,18,0,49.33,0,49.33,11.21,100.780000,18,4.900000,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,48.370000,25.510000,0.000000,25.510000,29.260000,14.130000,14.510000,5.800000,262.650000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,87.260000,5.950000,19.350000,48.370000,24.180000,6.770000,0,29.090000,53.5,0,11.66,116.030000,0.000000,17.83,0,45,0,45,10.61,100.780000,17.84,5.140000,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,48.370000,25.510000,0.000000,25.510000,29.260000,14.130000,14.510000,5.800000,262.650000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,87.260000,5.950000,19.350000,48.370000,24.180000,6.770000,0,29.090000,53,0,11.66,116.030000,0.000000,17.67,0,44.67,0,44.67,10.21,100.780000,17.66,5.140000,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,48.370000,30.960000,0.000000,24.420000,29.260000,14.130000,14.510000,5.800000,262.650000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,87.260000,5.950000,19.350000,48.370000,24.180000,6.770000,0,29.090000,52.5,0,13,116.030000,0.000000,17.5,0,44.33,0,44.33,12.41,100.780000,17.5,5.140000,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,48.370000,30.960000,0.000000,24.420000,28.760000,14.130000,14.510000,5.800000,262.650000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.310000,4.840000,0.000000,0.000000,0.000000,87.260000,5.950000,19.350000,48.370000,24.180000,6.770000,0,29.090000,52.5,0,12.66,116.030000,0.000000,17.5,0,44,0,44,12.01,100.780000,17.5,5.140000,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,48.370000,30.960000,0.000000,24.420000,27.750000,13.950000,14.510000,5.800000,225.940000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.230000,4.840000,0.000000,0.000000,0.000000,68.230000,5.950000,19.350000,48.370000,24.180000,6.770000,0,29.090000,52,0,12.34,85.320000,0.000000,17.33,0,43.33,0,43.33,16,100.780000,17.34,5.140000,0,0,0,0,0,0,0.09,0,0,0.02

22,05:15-05:30,48.370000,30.960000,0.000000,24.420000,27.250000,13.950000,14.510000,5.800000,262.650000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.230000,4.840000,0.000000,0.000000,0.000000,87.260000,5.950000,19.350000,48.370000,24.180000,6.770000,0,29.090000,51,0,12.34,116.030000,0.000000,17,0,43,0,43,15.8,100.780000,17,5.140000,0,0,0,0,0,0,0.36,0,0,0.07

23,05:30-05:45,48.370000,30.960000,0.000000,24.420000,26.240000,13.950000,14.510000,5.800000,262.650000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.230000,4.840000,0.000000,0.000000,0.000000,87.260000,5.950000,19.350000,48.370000,24.180000,6.770000,0,29.090000,61.5,0,15,116.030000,0.000000,20.5,0.009747,45,0,45,15.4,100.780000,20.5,5.140000,0,0,0,0,0,0,0.82,0,0,0.16

24,05:45-06:00,48.370000,30.960000,0.000000,24.420000,25.730000,13.950000,14.510000,5.800000,262.650000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.230000,4.840000,0.000000,0.000000,0.000000,87.260000,5.950000,19.350000,48.370000,24.180000,6.770000,0,29.090000,60.5,0,15,116.030000,0.000000,20.17,1.520532,44.67,0,44.67,14.8,100.780000,20.16,5.140000,0,0,0,0,0,0,1.44,0,0,0.29

25,06:00-06:15,48.370000,30.960000,0.000000,24.420000,25.230000,13.760000,14.510000,5.800000,262.650000,8.650000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.230000,4.840000,0.000000,0.000000,0.000000,87.260000,5.810000,19.350000,48.370000,24.180000,6.770000,0,29.090000,60,0.71,15,116.030000,0.000000,20,3.616137,44,7.92,44,14.2,100.780000,20,5.140000,0,0,0,1,0,0.1,7.06,1,1,1.41

26,06:15-06:30,48.370000,30.960000,0.000000,24.420000,24.220000,13.760000,14.510000,5.800000,262.650000,8.650000,273.530000,0.040000,19.350000,48.370000,46.440000,0.040000,5.230000,4.840000,0.000000,0.000000,0.000000,63.440000,5.810000,19.350000,48.370000,24.180000,6.770000,2,29.090000,59.5,0.71,15,116.030000,0.040000,19.83,7.856082,43.67,13.55,43.67,13.6,100.780000,19.84,5.140000,0.43,0,1,4,0,1,12.12,1,2,2.42

27,06:30-06:45,48.370000,30.960000,0.000000,24.420000,24.220000,13.760000,14.510000,5.800000,202.050000,4.840000,273.530000,0.280000,19.350000,48.370000,46.440000,0.280000,5.230000,4.840000,0.000000,0.000000,0.000000,63.440000,5.810000,19.350000,48.370000,24.180000,6.770000,5,29.090000,70,33,18.34,116.030000,0.280000,23.33,13.070727,46.67,17.95,46.67,10.21,100.780000,23.34,5.140000,2.01,0,3,7,0,2,18.96,3,5,3.79

28,06:45-07:00,48.370000,30.960000,0.000000,24.420000,23.710000,13.760000,14.510000,5.800000,202.050000,4.840000,273.530000,0.750000,19.350000,48.370000,46.440000,0.740000,5.230000,4.840000,0.000000,0.000000,0.000000,63.440000,5.810000,19.350000,48.370000,24.180000,6.770000,9,29.090000,67.5,30.06,18,85.320000,0.740000,22.5,19.484253,46.67,25.28,46.67,9.61,100.780000,22.5,5.140000,4.34,0,4,14,0,5,26.57,6,8,5.31

29,07:00-07:15,48.370000,30.960000,0.000000,24.420000,23.710000,13.570000,14.510000,5.800000,202.050000,4.840000,273.530000,1.310000,19.350000,48.370000,46.440000,1.280000,5.230000,4.840000,0.000000,0.000000,0.000000,44.410000,5.810000,19.350000,48.370000,24.180000,6.770000,18,29.090000,75,28.68,17.66,76.780000,1.280000,25,26.765262,46,28.67,46,7.41,100.780000,25,5.060000,10,0,5,21,0,7.54,33.47,9,11,6.69

30,07:15-07:30,48.370000,30.960000,0.000000,24.420000,23.710000,13.570000,14.510000,5.800000,202.050000,4.840000,273.530000,2.110000,19.350000,48.370000,46.440000,2.050000,5.230000,4.840000,0.000000,0.000000,0.000000,44.410000,5.810000,19.350000,48.370000,24.180000,6.770000,25.32,29.090000,72,25.32,17.34,68.250000,2.050000,24,34.777296,45.67,25.31,45.67,7.41,100.780000,24,5.060000,16,0,8,35,0,10.46,47.06,15,16,9.41

31,07:30-07:45,48.370000,30.960000,0.000000,24.420000,23.210000,13.570000,14.510000,5.800000,202.050000,4.840000,273.530000,3.250000,19.350000,48.370000,46.440000,3.170000,5.230000,4.840000,0.000000,0.000000,0.000000,44.410000,5.810000,19.350000,48.370000,24.180000,6.770000,27.15,29.090000,71,27.15,17,66.350000,3.170000,23.67,42.379956,55,27.15,55,7.41,100.780000,23.66,5.060000,21.67,0,12,49,0,15.61,62.3,21,25,12.46

32,07:45:08:00,48.370000,30.960000,0.000000,24.420000,23.210000,13.570000,14.510000,5.800000,202.050000,4.840000,273.530000,4.210000,19.350000,48.370000,46.440000,4.110000,5.230000,4.840000,0.000000,0.000000,0.000000,33.860000,5.810000,19.350000,48.370000,24.180000,6.770000,28.32,29.090000,69,28.32,16.66,66.350000,4.110000,23,50.343255,54.67,28.31,54.67,7.41,100.780000,23,5.060000,27.67,0,17,67,0,19.71,79.02,28,33,15.8

33,08:00-08:15,48.370000,30.960000,0.000000,24.420000,23.210000,13.390000,14.510000,5.800000,165.350000,12.020000,273.530000,5.510000,19.350000,48.370000,46.440000,5.380000,5.230000,4.840000,0.000000,0.000000,0.000000,33.860000,5.680000,19.350000,48.370000,24.180000,6.770000,29.32,29.090000,80,29.32,16,70.520000,5.380000,26.67,58.413771,61.67,29.31,61.67,7.41,82.230000,26.66,5.060000,33.67,0,18,74,0,23.37,96.43,31,35,19.29

34,08:15-08:30,48.370000,30.960000,0.000000,24.420000,24.220000,13.390000,14.510000,5.800000,202.050000,12.020000,273.530000,6.700000,19.350000,48.370000,46.440000,6.540000,5.230000,4.840000,0.000000,0.000000,0.000000,33.860000,5.680000,19.350000,48.370000,24.180000,6.770000,30.5,29.090000,79,30.5,15.66,70.520000,6.540000,26.33,66.542769,61.67,30.5,61.67,7.41,82.230000,26.34,5.060000,39.33,0,22,91,0,26.63,113.77,39,43,22.75

35,08:30-08:45,48.370000,30.960000,0.000000,24.420000,25.230000,13.390000,14.510000,5.800000,202.050000,12.020000,273.530000,7.940000,19.350000,48.370000,46.440000,7.750000,5.230000,4.840000,0.000000,0.000000,0.000000,33.860000,5.680000,19.350000,48.370000,24.180000,6.770000,30.5,29.090000,77.5,30.5,15.34,70.520000,7.750000,25.83,74.447586,58.67,30.5,58.67,7.41,53.210000,25.84,5.060000,48.05,0,25,105,0,29.73,131.49,45,50,26.3

36,08:45:09:00,48.370000,30.960000,0.000000,24.420000,25.730000,13.390000,14.510000,5.800000,165.350000,12.020000,232.180000,9.080000,19.350000,48.370000,46.440000,8.860000,5.230000,4.840000,0.000000,0.000000,0.000000,33.860000,5.680000,19.350000,48.370000,24.180000,6.770000,30.5,29.090000,76,30.5,15,70.520000,8.860000,25.33,82.196451,57,30.5,57,7.41,53.210000,25.34,5.060000,55.38,0,28,119,0,32.53,148.14,51,57,29.63

37,09:00:09:15,48.370000,25.510000,0.000000,25.510000,25.730000,13.210000,14.510000,5.800000,165.350000,12.020000,273.530000,10.250000,19.350000,48.370000,46.440000,10.000000,5.390000,4.840000,0.000000,0.000000,0.000000,33.860000,5.530000,19.350000,48.370000,24.180000,6.770000,30.5,29.090000,67.5,30.5,12.84,70.520000,10.000000,22.5,89.652906,48.33,30.5,48.33,6.61,53.210000,22.5,5.060000,62.28,0,30,133,0,33.52,163.78,57,60,32.76

38,09:15-09:30,48.370000,25.510000,0.000000,25.510000,26.240000,13.210000,14.510000,5.800000,165.350000,12.020000,273.530000,11.350000,19.350000,48.370000,46.440000,11.080000,5.390000,4.840000,0.000000,0.000000,0.000000,33.860000,5.530000,19.350000,48.370000,24.180000,6.770000,30.5,29.090000,64,30.5,12.1,70.520000,11.080000,21.33,96.407577,47.67,30.5,47.67,6.61,53.210000,21.34,5.060000,68.72,0,34,147,0,36.21,179.12,63,67,35.82

39,09:30-09:45,48.370000,25.510000,0.000000,25.510000,26.240000,13.210000,14.510000,5.800000,165.350000,12.020000,273.530000,12.210000,19.350000,48.370000,46.440000,11.920000,5.390000,4.840000,0.000000,0.000000,0.000000,44.410000,5.530000,19.350000,48.370000,24.180000,6.770000,30.5,29.090000,47.5,30.5,9.34,70.520000,11.920000,15.83,102.63591,47,30.5,47,6.61,97.490000,15.84,5.060000,74.7,0,37,158,0,38.84,194.03,67,73,38.8

40,09:45-10:00,48.370000,25.510000,0.000000,25.510000,26.740000,13.210000,14.510000,5.800000,165.350000,12.020000,273.530000,13.090000,19.350000,48.370000,46.440000,12.770000,5.390000,4.840000,0.000000,0.000000,0.000000,33.860000,5.530000,19.350000,48.370000,24.180000,6.770000,30.4,29.090000,45,30.4,9.34,70.520000,12.770000,15,108.562086,46.33,30.4,46.33,6.61,53.210000,15,5.060000,80.01,0,38,168,0,41.04,207.88,72,77,41.57

41,10:00-10:15,48.370000,25.510000,0.000000,25.510000,27.750000,13.210000,14.510000,0.000000,172.150000,12.020000,273.530000,13.830000,19.350000,0.000000,0.000000,13.490000,0.000000,0.000000,0.000000,0.000000,0.000000,52.890000,5.020000,19.350000,0.000000,24.180000,0.000000,30.4,29.090000,40,30.4,9.34,70.520000,13.490000,13.33,113.494068,45,30.4,45,6.61,53.210000,13.34,5.060000,84.62,0,40,175,0,42.96,222.28,75,80,44.46

42,10:15-10:30,48.370000,25.510000,0.000000,25.510000,27.750000,13.210000,14.510000,0.000000,172.150000,12.020000,273.530000,14.480000,19.350000,0.000000,0.000000,14.120000,0.000000,0.000000,0.000000,0.000000,0.000000,52.890000,5.020000,19.350000,0.000000,24.180000,0.000000,30.4,29.090000,40,30.4,9.34,70.520000,14.120000,13.33,117.334386,44.33,30.4,44.33,6.61,53.210000,13.34,5.060000,88.8,0,42,182,0,44.8,230,78,84,46

43,10:30-10:45,48.370000,25.510000,0.000000,25.510000,27.750000,13.210000,14.510000,0.000000,167.310000,12.020000,273.530000,15.130000,19.350000,0.000000,0.000000,14.750000,0.000000,0.000000,0.000000,0.000000,0.000000,52.890000,5.020000,19.350000,0.000000,24.180000,0.000000,30.4,29.090000,36,30.4,9.34,85.320000,14.750000,12,117.022482,37.67,30.4,37.67,6.61,53.210000,12,3.500000,91.13,0,45,189,0,45,230,81,90,46

44,10:45-11:00,48.370000,25.510000,0.000000,25.510000,27.750000,13.210000,14.510000,0.000000,167.310000,12.020000,273.530000,15.550000,19.350000,0.000000,0.000000,15.170000,0.000000,0.000000,0.000000,0.000000,0.000000,52.890000,5.020000,19.350000,0.000000,24.180000,0.000000,30.4,29.090000,36,30.4,9.66,116.030000,15.170000,12,119.381256,37.67,30.4,37.67,6.61,53.210000,12,2.330000,91.96,0,46,190,0,45.5,230,82,91,46

45,11:00-11:15,48.370000,25.510000,0.000000,25.510000,27.750000,13.210000,14.510000,0.000000,167.310000,12.020000,273.530000,16.120000,19.350000,0.000000,0.000000,15.720000,0.000000,0.000000,0.000000,0.000000,0.000000,52.890000,4.930000,19.350000,0.000000,24.180000,0.000000,30.4,29.090000,25,30.4,9.66,116.030000,15.720000,8.33,120.37545,22.67,30.4,22.67,6.61,53.210000,8.34,2.330000,92.08,0,46,191,0,46,230,82,92,46

46,11:15-11:30,48.370000,25.510000,0.000000,25.510000,27.750000,13.210000,14.510000,0.000000,167.310000,12.020000,273.530000,16.120000,19.350000,0.000000,0.000000,15.720000,0.000000,0.000000,0.000000,0.000000,0.000000,52.890000,4.930000,19.350000,0.000000,24.180000,0.000000,30.23,29.090000,25,30.23,9.66,116.030000,15.720000,8.33,120.190257,23,30.24,23,6.61,53.210000,8.34,1.560000,92.04,0,46,191,0,46.5,230,82,92,46

47,11:30-11:45,48.370000,25.510000,0.000000,25.510000,27.750000,13.210000,14.510000,0.000000,167.310000,12.020000,273.530000,16.120000,19.350000,0.000000,0.000000,15.720000,0.000000,0.000000,0.000000,0.000000,0.000000,52.890000,4.930000,19.350000,0.000000,24.180000,0.000000,30.23,29.090000,25,30.23,9.66,116.030000,15.720000,8.33,118.582002,23.33,30.24,23.33,6.61,53.210000,8.34,1.560000,92.12,0,46,191,0,46.5,230,82,92,46

48,11:45-12:00,48.370000,25.510000,0.000000,25.510000,27.750000,13.210000,14.510000,0.000000,167.310000,12.020000,273.530000,16.120000,19.350000,0.000000,0.000000,15.720000,0.000000,0.000000,0.000000,0.000000,0.000000,52.890000,4.930000,19.350000,0.000000,24.180000,0.000000,30.23,29.090000,25,30.23,10.2,116.030000,15.720000,8.33,116.681337,23.67,30.24,23.67,6.61,62.880000,8.34,3.120000,92.3,0,46,191,0,46.5,230,82,92,46

49,12:00-12:15,48.370000,25.510000,0.000000,25.510000,28.260000,13.210000,0.000000,0.000000,202.050000,12.020000,273.530000,16.120000,0.000000,0.000000,0.000000,15.720000,0.000000,0.000000,0.000000,0.000000,0.000000,52.890000,4.930000,0.000000,0.000000,0.000000,0.000000,30.23,29.090000,25,30.23,10.73,116.030000,15.720000,8.33,113.708502,24,30.24,24,6.81,69.650000,8.34,4.830000,92.4,0,46,191,0,46.5,230,82,92,46

50,12:15-12:30,48.370000,25.510000,0.000000,25.510000,28.760000,13.210000,0.000000,0.000000,202.050000,12.020000,273.530000,16.120000,0.000000,0.000000,0.000000,15.720000,0.000000,0.000000,0.000000,0.000000,0.000000,52.890000,4.930000,0.000000,0.000000,0.000000,0.000000,30.23,29.090000,25,30.23,11.27,116.030000,15.720000,8.33,110.62845,24.33,30.24,24.33,8.41,69.650000,8.34,4.830000,92.36,0,46,191,0,46.5,230,82,92,46

