Block,Time,NR/28122023/28122023/DD20231228NR21967,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/23122023/31122023/HP-17,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/28122023/28122023/IEX_231227_05960,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,NR/28122023/28122023/HPX-TAMCTG-271223-05534,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/20122023/29022024/IEX_LDC_231218_00502,NR/28122023/28122023/IEX_231227_05959,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/23122023/31122023/HP-21,NR/01102023/19072037/LT-05,NR/20122023/29022024/IEX_LDC_231218_00501,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,NR/23122023/31122023/SJVN231223NR1309,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/23122023/31122023/SJVN231223NR1310,NR/26072023/31072042/L_NR_2023_07
6,01:15-01:30,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,1.010000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,26.78,0,0,0,33.23,0,80.35,0,0,18.21,48.16,0,26.78,0,0,63.18,63.18,0,0

7,01:30-01:45,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,1.010000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,24.46,0,0,0,28.21,0,73.41,0,0,15.06,48.16,0,24.47,0,0,62.75,62.75,0,0

8,01:45-02:00,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,23.110000,14.450000,0.000000,0.000000,1.010000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,24.53,0,0,0,28.72,0,73.59,0,0,14.87,48.16,0,24.53,0,0,62.63,62.63,0,0

9,02:00-02:15,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,23.110000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,22.82,0,0,0,29,0,68.46,0,0,14.55,48.16,0,22.82,0,0,62.55,62.55,0,0

10,02:15-02:30,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,23.110000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,22.44,0,0,0,29.15,0,67.33,0,0,14.25,48.16,0,22.44,0,0,62.44,62.44,0,0

11,02:30-02:45,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,22.38,0,0,0,29.44,0,67.17,0,0,13.94,48.16,0,22.39,0,0,52.75,52.75,0,0

12,02:45-03:00,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,22.35,0,0,0,29.71,0,67.06,0,0,13.66,48.16,0,22.35,0,0,51.75,51.75,0,0

13,03:00-03:15,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.070000,147.720000,71.650000,8.190000,0,0,0,0,0,22.28,0,0,0,30.04,0,66.84,0,0,13.15,48.16,0,22.28,0,0,51.08,51.08,0,0

14,03:15-03:30,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.070000,147.720000,71.650000,8.190000,0,0,0,0,0,22.22,0,0,0,30.21,0,66.65,0,0,12.44,48.16,0,22.22,0,0,49.59,49.59,0,0

15,03:30-03:45,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.070000,147.720000,71.650000,8.190000,0,0,0,0,0,22.14,0,0,0,30.54,0,66.44,0,0,11.65,48.16,0,22.15,0,0,48.13,48.13,0,0

16,03:45-04:00,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.070000,147.720000,71.650000,8.190000,0,0,0,0,0,22.1,0,0,0,30.87,0,66.25,0,0,10.8,48.16,0,22.08,0,0,44.79,44.79,0,0

17,04:00-04:15,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.070000,147.720000,71.650000,8.190000,0,0,0,0,0,17.21,0,0,0,31.11,0,51.62,0,0,7.34,48.16,0,17.21,0,0,33.4,33.4,0,0

18,04:15-04:30,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.070000,147.720000,71.650000,8.190000,0,0,0,0,0,16.87,0,0,0,31.51,0,50.62,0,0,7.34,48.16,0,16.88,0,0,33.17,33.17,0,0

19,04:30-04:45,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.070000,147.720000,71.650000,8.190000,0,0,0,0,0,13.36,0,0,0,31.91,0,40.13,0,0,7.34,48.16,0,13.38,0,0,31.75,31.75,0,0

20,04:45-05:00,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.070000,147.720000,71.650000,8.190000,0,0,0,0,0,13.18,0,0,0,32.31,0,39.54,0,0,7.34,48.16,0,13.18,0,0,31.61,31.61,0,0

21,05:00-05:15,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,46.380000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,113.760000,25.990000,5.780000,0.000000,31.430000,148.970000,1.070000,147.720000,71.650000,8.190000,0,0,0,0,0,13.01,0,0,0,27.7,0,39.01,0,0,7.34,48.16,0,13,0,0,30.6,30.6,0,0

22,05:15-05:30,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,46.380000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,113.760000,25.990000,5.780000,0.000000,31.430000,192.620000,1.070000,147.720000,67.420000,8.190000,0,0,0,0,0,12.65,0,0,0,28.02,0,37.94,0,0,7.34,48.16,0,12.65,0,0,29.64,29.64,0,0

23,05:30-05:45,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,46.380000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,113.760000,25.990000,5.780000,0.000000,55.140000,231.140000,1.070000,147.720000,67.420000,8.190000,0,0,0,0,0,12.96,0,0,0,28.42,0,38.88,0,0,7.34,48.16,0,12.96,0,0,30.08,30.08,0,0

24,05:45-06:00,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,46.380000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,130.310000,25.990000,5.780000,0.000000,74.080000,270.870000,1.070000,147.720000,76.080000,8.190000,0,0,0,0,0,12.84,0,0,0,28.71,0,38.53,0,0,7.34,48.16,0,12.84,0,0,30.75,30.75,0,0

25,06:00-06:15,0.000000,30.820000,1.570000,0.000000,0.000000,0.000000,100.880000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,130.310000,24.690000,5.780000,0.000000,86.870000,270.870000,1.070000,251.460000,93.420000,8.190000,0,0,0,0,0,14.32,0,0,0,29.11,0,42.97,0,0,7.34,48.16,0,14.32,0,0,31.08,31.08,0,0

26,06:15-06:30,0.000000,30.820000,1.570000,0.000000,0.000000,0.000000,100.880000,144.460000,96.310000,23.110000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,130.310000,0.000000,5.780000,0.000000,86.870000,270.870000,1.070000,251.460000,102.090000,8.190000,0,0,0,0,0,14.05,0,0,0,29.51,0,42.12,0,0,7.34,48.16,0,14.04,0,0,31.42,31.42,0,0

27,06:30-06:45,0.000000,30.820000,1.570000,0.000000,0.000000,0.000000,100.880000,144.460000,96.310000,22.150000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,130.310000,0.000000,5.780000,0.000000,86.870000,270.870000,1.070000,251.460000,117.880000,8.190000,0,0,0,0,0.5,13.56,0,0,0,29.58,0,40.63,0,0,7.34,48.16,0,13.54,0,0,31.75,31.75,0,0

28,06:45-07:00,0.000000,30.820000,1.570000,0.000000,0.000000,0.000000,100.880000,144.460000,96.310000,22.150000,14.450000,0.000000,0.000000,0.930000,11.560000,48.160000,130.310000,0.000000,5.780000,0.000000,86.870000,270.870000,1.070000,251.460000,117.880000,8.190000,0,0,0,0,3,13.25,0,0,0,29.65,0,39.76,0,0,7.34,48.16,0,13.26,0,0,31.88,31.88,0,0

29,07:00-07:15,18.300000,30.700000,1.570000,0.000000,0.000000,0.000000,100.880000,144.460000,96.310000,22.150000,14.450000,29.860000,0.000000,0.930000,11.560000,48.160000,130.310000,30.700000,5.780000,0.000000,86.870000,270.870000,1.070000,251.460000,117.880000,8.190000,1,0,0,0,10,12.34,0,0,1,29.73,0,36.99,0.535315,0,7.34,48.16,0,12.33,0,0,23.33,23.33,0,0

30,07:15-07:30,9.630000,30.700000,1.570000,0.030000,0.000000,0.030000,100.880000,144.460000,96.310000,22.150000,14.450000,29.860000,0.030000,0.930000,11.560000,48.160000,130.310000,30.700000,5.780000,0.000000,86.870000,270.870000,1.070000,251.460000,117.880000,8.190000,2.23,1,0,0,18,11.31,0,0,3,29.76,0,33.96,4.681573,0,7.34,48.16,0,11.32,0,0,23.08,23.08,0,0

31,07:30-07:45,9.630000,30.700000,1.570000,0.220000,0.000000,0.210000,100.880000,144.460000,96.310000,23.110000,14.450000,29.860000,0.210000,0.930000,11.560000,48.160000,130.310000,30.700000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,6.71,3,0.91,1,28,10.21,0,1,6.37,29.81,0.33,30.61,10.492174,1,7.34,48.16,0.18,10.2,0,0,26.75,26.75,0,2

32,07:45:08:00,9.630000,30.450000,1.570000,0.590000,0.000000,0.570000,100.880000,144.460000,96.310000,23.110000,14.450000,29.860000,0.570000,0.930000,11.560000,48.160000,130.310000,30.450000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,26.76,5,7.88,3,33,11.71,0,3,21.76,29.98,1,35.12,17.061949,2,7.34,48.16,1.58,11.71,0,0,26.08,26.08,0,7

33,08:00-08:15,14.450000,30.700000,1.570000,1.240000,0.000000,1.210000,64.220000,144.460000,96.310000,23.110000,14.450000,29.860000,1.210000,0.930000,11.560000,48.160000,130.310000,30.700000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,30.33,10,18.92,7,30.33,11.37,0,5,30.34,29.91,6.14,34.12,25.218203,5,7.34,48.16,3.78,11.38,0,0,25.33,25.33,0,18

34,08:15-08:30,11.560000,30.340000,1.570000,2.120000,0.000000,2.070000,64.220000,144.460000,96.310000,23.110000,14.450000,29.860000,2.070000,0.930000,11.560000,48.160000,130.310000,30.340000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,30.33,13,34.99,13,30.33,10.87,0,7,30.34,29.8,14.53,32.62,35.067999,9,7.34,48.16,7,10.88,0,0,23.08,23.08,0,32

35,08:30-08:45,15.410000,30.340000,1.570000,2.930000,0.000000,2.870000,64.220000,144.460000,96.310000,23.110000,14.450000,29.860000,2.870000,0.930000,11.560000,48.160000,130.310000,30.340000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32,17,56.35,21,32,10.37,0,9,32,29.71,22.85,31.12,45.560173,13,7.34,48.16,11.27,10.38,0,0,20.65,20.65,0,49

36,08:45:09:00,17.340000,30.340000,1.570000,3.860000,0.000000,3.760000,64.220000,144.460000,96.310000,24.080000,14.450000,29.860000,3.760000,0.930000,11.560000,48.160000,130.310000,30.340000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32,23,78.59,28,32,10.5,0,12,32,29.79,29.72,31.5,56.052347,18,7.34,48.16,15.72,10.5,0,0,18.05,18.05,0,67

37,09:00:09:15,0.000000,30.340000,1.570000,5.080000,0.000000,4.960000,64.220000,144.460000,96.310000,24.080000,14.450000,29.860000,4.960000,0.930000,11.560000,48.160000,130.310000,30.340000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32,27,101.57,36,32,7.34,0,13,32,35.65,37.17,22,67.293962,22.3,6.34,48.16,20.31,7.33,0,0,13.67,13.67,0,84

38,09:15-09:30,0.000000,30.340000,1.570000,6.940000,0.000000,6.780000,64.220000,144.460000,96.310000,24.080000,14.450000,29.860000,6.780000,0.930000,11.560000,48.160000,130.310000,30.340000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32,30,123.46,42,32,7.34,0,15,32,36.13,45.36,22,78.311718,25.63,6.34,48.16,24.69,7.33,0,0,13.67,13.67,0,98

39,09:30-09:45,0.000000,30.340000,1.570000,8.080000,0.000000,7.880000,64.220000,144.460000,96.310000,24.080000,14.450000,29.860000,7.880000,0.930000,11.560000,48.160000,130.310000,30.340000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32,38,143.23,31,32,7.34,0,19,32,36.48,52.56,22,88.940154,28.58,6.34,48.16,28.65,7.33,0,0,13.67,13.67,0,74

40,09:45-10:00,0.000000,30.340000,1.570000,9.240000,0.000000,9.020000,64.220000,144.460000,96.310000,24.080000,14.450000,29.860000,9.020000,0.930000,11.560000,48.160000,130.310000,30.340000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32.5,45,163.99,39,32.5,7.34,0,23,32.5,36.95,58.43,22,98.760751,31.08,6.34,48.16,32.8,7.33,0,0,13.67,13.67,0,91

41,10:00-10:15,0.000000,30.340000,1.570000,10.300000,0.000000,10.050000,64.220000,144.460000,96.310000,24.080000,14.450000,29.860000,10.050000,0.930000,11.560000,48.160000,130.310000,30.340000,5.780000,0.000000,86.870000,270.870000,1.070000,251.460000,117.880000,8.190000,32.5,75,189.48,46,32.5,7.34,0,38,32.5,37.08,60.27,22,107.228461,33.46,6.34,48.16,37.89,7.33,0,0,13.67,13.67,0,109

42,10:15-10:30,0.000000,30.340000,1.570000,11.120000,0.000000,10.850000,64.220000,144.460000,96.310000,24.080000,14.450000,29.860000,10.850000,0.930000,11.560000,48.160000,130.310000,30.340000,5.780000,0.000000,86.870000,270.870000,1.070000,251.460000,117.880000,8.190000,32.5,81,204.43,52,32.5,7.34,0,40,32.5,37.33,65.05,22,114.138891,35.54,6.34,48.16,40.88,7.33,0,0,13.67,13.67,0,123

43,10:30-10:45,0.000000,30.340000,1.570000,12.780000,0.000000,12.460000,64.220000,144.460000,96.310000,24.080000,14.450000,29.860000,12.460000,0.930000,11.560000,48.160000,130.310000,30.340000,5.780000,0.000000,86.870000,270.870000,1.070000,251.460000,117.880000,8.190000,32.5,67,217.25,57,32.5,7.34,0,33,32.5,37.27,69.64,22,122.908324,37.49,6.34,48.16,43.45,7.33,0,0,13.67,13.67,0,133

44,10:45-11:00,0.000000,30.340000,1.570000,13.620000,0.000000,13.290000,64.220000,144.460000,96.310000,24.080000,14.450000,29.860000,13.290000,0.930000,11.560000,48.160000,130.310000,30.340000,5.780000,0.000000,86.870000,270.870000,1.070000,251.460000,117.880000,8.190000,32.5,73,229.89,63,32.5,7.34,0,37,32.5,37.21,73.64,22,127.774824,38.72,6.34,48.16,45.98,7.33,0,0,13.67,13.67,0,147

45,11:00-11:15,0.000000,30.820000,1.620000,14.400000,0.000000,14.050000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,14.050000,0.930000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32.5,77,230,69,32.5,7.34,0,38,32.5,36.96,76.74,22,131.862684,43,6.34,48.16,46,7.33,0,0,13.67,13.67,0,161

46,11:15-11:30,0.000000,30.820000,1.620000,14.830000,0.000000,14.470000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,14.470000,0.930000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32.5,82,230,72,32.5,7.34,0,41,32.5,36.59,79.46,22,134.967511,43.24,6.34,48.16,46,7.33,0,0,13.67,13.67,0,168

47,11:30-11:45,0.000000,30.820000,1.620000,15.400000,0.000000,15.020000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,15.020000,1.160000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32.5,78,230,66,32.5,6.5,0,39,32.5,36.32,87.62,19.5,137.459159,44,6.34,48.16,46,6.5,0,0,13.67,13.67,0,154

48,11:45-12:00,0.000000,30.820000,1.620000,15.830000,0.000000,15.450000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,15.450000,1.250000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32.5,83,230,72,32.5,6.5,0,42,32.5,36.16,90.08,19.5,138.958041,45,6.34,48.16,46,6.5,0,0,13.67,13.67,0,168

49,12:00-12:15,0.000000,30.820000,1.620000,16.090000,0.000000,15.700000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,15.700000,1.250000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32.5,83,230,72,32.5,6.5,0,42,32.5,38.01,90.06,19.5,144.223594,45.5,6.34,48.16,46,6.5,0,0,13,13,0,168

50,12:15-12:30,0.000000,30.820000,1.620000,16.170000,0.000000,15.780000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,15.780000,1.250000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32.5,87,230,75,32.5,6.5,0,43,32.5,38.01,91.79,19.5,143.824541,45.5,6.34,48.16,46,6.5,0,0,13,13,0,175

51,12:30-12:45,0.000000,30.820000,1.620000,16.170000,0.000000,15.780000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,15.780000,0.770000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,117.880000,8.190000,32.5,93,230,82,32.5,6.5,0,47,32.5,38.01,92.07,19.5,142.568984,45.5,6.34,48.16,46,6.5,0,0,13,13,0,193

52,12:45-13:00,0.000000,30.820000,1.620000,16.170000,0.000000,15.780000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,15.780000,0.770000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.150000,251.460000,96.310000,8.190000,32.5,93,230,82,32.5,6.5,0,47,32.5,38.01,90.52,19.5,140.495855,45.5,6.34,48.16,46,6.5,0,0,13,13,0,193

53,13:00-13:15,0.000000,24.690000,1.620000,16.140000,0.000000,15.750000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,15.750000,0.770000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.220000,251.460000,67.420000,8.190000,32.5,93,230,82,32.5,6.5,0,47,32.5,40.01,89.4,19.5,137.605154,45,6.34,48.16,46,6.5,0,0,13,13,0,193

54,13:15-13:30,0.000000,24.690000,1.620000,16.030000,0.000000,15.640000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,15.640000,0.770000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.220000,251.460000,67.420000,8.190000,32.5,92,230,82,32.5,6.5,0,46,32.5,40.01,87.9,19.5,133.799551,45,6.34,48.16,46,6.5,0,0,13,13,0,193

55,13:30-13:45,0.000000,24.690000,1.620000,15.620000,0.000000,15.240000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,15.240000,1.010000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.220000,251.460000,67.420000,8.190000,32.5,90,230,81,32.5,5.84,0,45,32.5,40.01,84.95,17.5,131.726422,45,6.34,48.16,46,5.83,0,0,13,13,0,189

56,13:45-14:00,0.000000,24.690000,1.620000,15.090000,0.000000,14.730000,64.220000,144.460000,96.310000,0.000000,14.450000,0.000000,14.730000,1.010000,11.560000,48.160000,130.310000,30.820000,5.780000,0.000000,86.870000,270.870000,1.220000,251.460000,96.310000,8.190000,32.5,85,230,78,32.5,5.84,0,43,32.5,40.01,82.76,17.5,126.480335,42.51,6.34,48.16,46,5.83,0,0,13,13,0,182

