Time,Block,NR/2024/22099/C,NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21087/A/29727,NR/2024/22093/C,NR/2024/22104/C,NR/2024/21062/A/29697,NR/30092023/26122029/SH-06,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21076/A/29968,NR/2024/22105/C,NR/2024/21141/A/29653,NR/2024/20574/A/29693,NR/2024/21159/A/29717,NR/2024/21150/A/29721,NR/2024/22106/C,NR/2024/21173/A/29725,NR/2024/21158/A/29719,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21160/A/29718,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21199/A/29837,NR/2024/21108/A/29918,NR/2024/21567/A/29902,NR/2024/19779/A/29683,NR/2024/21153/A/29724,NR/2024/21152/A/29597,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21146/A/29723,NR/2024/21238/A/29963,NR/2024/21210/A/29649,NR/30092023/31122025/SH-07,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22097/C,NR/2024/20688/A/29831,NR/2024/22085/C,NR/2024/21144/A/29681,NR/2024/22087/C,NR/2024/22131/C,NR/2024/22088/C,NR/2024/21142/A/29651,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/20711/A/29895,NR/2024/22102/C,NR/2024/21023/A/29838,NR/2024/20573/A/29692,NR/2024/21227/A/29922,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21113/A/29903,NR/2024/20931/A/29876,NR/2024/21096/A/29924,NR/2024/21075/A/29969,NR/2024/21978/A/29506,NR/2024/22172/C,NR/31072024/31072024/IEX_240730_01784,NR/2024/20966/A/29602,NR/2024/21183/A/29964,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21682/A/29894,NR/2024/21103/A/29923,NR/2024/21156/A/29726,NR/2024/21099/A/29655,NR/2024/21072/A/29905,NR/2024/21089/A/29904,NR/2024/21339/A/29645,NR/2024/21186/A/29921,NR/2024/22130/C,NR/2024/21148/A/29722,Total
26,06:15-06:30,0.000000,24.080000,14.720000,24.080000,24.080000,0.000000,0.000000,32.000000,96.320000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,96.320000,0.970000,48.160000,0.000000,24.000000,12.410000,0.670000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,0,0,27.930000,48.160000,18.140000,96.320000,0.000000,0.000000,0.000000,0.000000,13.610000,37.210000,0.000000,24.080000,11.700000,7.710000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.520000,1748.77

27,06:30-06:45,0.000000,24.080000,14.720000,24.080000,24.080000,0.000000,0.000000,32.000000,96.320000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,96.320000,0.970000,48.160000,0.000000,24.000000,12.410000,0.670000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,0,0,27.930000,48.160000,18.140000,96.320000,0.000000,0.000000,0.000000,0.000000,13.610000,37.210000,0.000000,24.080000,11.700000,8.670000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.520000,1749.73

28,06:45-07:00,0.000000,24.080000,14.720000,24.080000,24.080000,0.000000,0.000000,32.000000,96.320000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,96.320000,0.970000,48.160000,0.000000,24.000000,12.410000,0.670000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,0.24,0,27.930000,48.160000,18.140000,96.320000,0.000000,0.000000,0.000000,0.000000,13.610000,37.210000,0.000000,24.080000,11.700000,8.670000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.520000,1749.97

29,07:00-07:15,0.000000,24.080000,14.720000,24.080000,24.080000,0.000000,0.000000,32.000000,96.320000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,96.320000,0.970000,48.160000,0.000000,24.000000,12.410000,0.770000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,0.49,0,27.930000,48.160000,18.140000,96.320000,0.000000,0.000000,0.000000,0.000000,14.070000,37.210000,0.000000,24.080000,11.700000,8.670000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.520000,1750.78

30,07:15-07:30,0.000000,24.080000,14.720000,24.080000,24.080000,0.000000,0.000000,32.000000,96.320000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,96.320000,0.970000,48.160000,0.000000,24.000000,12.410000,0.770000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,0.57,0,27.930000,48.160000,18.140000,96.320000,0.000000,0.000000,0.000000,0.000000,14.070000,37.210000,0.000000,24.080000,11.700000,8.670000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.520000,1750.86

31,07:30-07:45,0.000000,24.080000,14.720000,24.080000,24.080000,0.000000,0.000000,32.000000,96.320000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,96.320000,0.970000,48.160000,0.000000,24.000000,12.410000,0.770000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,0.71,0,27.930000,48.160000,18.140000,96.320000,0.000000,0.000000,0.000000,0.000000,14.070000,37.210000,0.000000,24.080000,11.700000,8.670000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.520000,1751

32,07:45:08:00,0.000000,24.080000,14.720000,24.080000,24.080000,0.000000,0.000000,32.000000,96.320000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,96.320000,0.970000,48.160000,0.000000,24.000000,12.410000,0.770000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,1.19,0,27.930000,48.160000,18.140000,96.320000,0.000000,0.000000,0.000000,0.000000,14.070000,37.210000,0.000000,24.080000,11.700000,8.670000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.520000,1751.48

33,08:00-08:15,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,1.26,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,8.670000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1805.38

34,08:15-08:30,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,1.45,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,8.670000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1805.57

35,08:30-08:45,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,1.62,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,8.670000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1805.74

36,08:45:09:00,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,1.81,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,8.670000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1805.93

37,09:00:09:15,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,1.87,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,9.630000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1806.95

38,09:15-09:30,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,1.97,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,9.630000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1807.05

39,09:30-09:45,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,2.17,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,11.560000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1809.18

40,09:45-10:00,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,2.55,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,11.560000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1809.56

41,10:00-10:15,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,2.84,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.430000,37.210000,48.160000,24.080000,11.700000,11.560000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1809.67

42,10:15-10:30,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,3.13,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.430000,37.210000,48.160000,24.080000,11.700000,11.560000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1809.96

43,10:30-10:45,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,3.24,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.430000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1811.03

44,10:45-11:00,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,3.52,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.430000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1811.31

45,11:00-11:15,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,3.71,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.430000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1811.5

46,11:15-11:30,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,4.05,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.430000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1811.84

47,11:30-11:45,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,4.4,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.430000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1812.19

48,11:45-12:00,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,4.52,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.430000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1812.31

49,12:00-12:15,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,4.62,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1812.13

50,12:15-12:30,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,4.97,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1812.48

51,12:30-12:45,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,6.36,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1813.87

52,12:45-13:00,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,6.74,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1814.25

53,13:00-13:15,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,7.51,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1815.02

54,13:15-13:30,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,8.09,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1815.6

55,13:30-13:45,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,27.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,7.32,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1809.83

56,13:45-14:00,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,27.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.480000,6.26,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1808.77

57,14:00-14:15,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,22.970000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,22.970000,0.000000,48.160000,66.280000,163.980000,0.480000,5.78,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1795.23

58,14:15-14:30,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,22.970000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,22.970000,0.000000,48.160000,66.280000,163.980000,0.480000,5.2,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1794.65

59,14:30-14:45,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,22.970000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,22.970000,0.000000,48.160000,66.280000,163.980000,0.480000,4.62,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1794.07

60,14:45-15:00,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,22.970000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,22.970000,0.000000,48.160000,66.280000,163.980000,0.480000,4.24,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.150000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1793.69

