Time,Block,NR/30092023/31122025/SH-07,NR/30072024/30072024/IEX_240729-01767,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30072024/30072024/IEX_240729-01765,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/R2,NR/2024/21062/A/29767,NR/30092023/26122029/SH-06,NR/2024/21141/A/29652,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21023/A/29508,NR/2024/21148/A/29535,NR/2024/21096/A/29796,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21567/A/29777,NR/2024/21089/A/29779,NR/2024/20966/A/29472,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21108/A/29793,NR/2024/22057/C,NR/2024/21072/A/29780,NR/2024/21075/A/29822,NR/2024/20573/A/29769,NR/2024/21210/A/29648,NR/2024/21227/A/29794,NR/2024/22089/C,NR/2024/22055/C,NR/2024/21142/A/29650,NR/2024/21113/A/29778,NR/2024/21186/A/29789,NR/2024/21103/A/29795,NR/2024/22076/C,NR/2024/22119/C,NR/2024/21150/A/29536,NR/2024/20931/A/29709,NR/2024/21087/A/29531,NR/2024/21339/A/29644,NR/2024/21152/A/29471,NR/2024/20711/A/29677,NR/2024/21173/A/29530,NR/2024/22056/C,NR/2024/21099/A/29654,NR/2024/21144/A/29504,NR/2024/21153/A/29534,NR/2024/19779/A/29454,NR/2024/21199/A/29507,NR/2024/21158/A/29540,NR/2024/22061/C,NR/2024/21183/A/29816,NR/2024/20574/A/29768,NR/2024/21978/A/29505,NR/2024/21238/A/29814,NR/2024/20688/A/29532,NR/2024/21160/A/29538,NR/2024/22064/C,NR/2024/21076/A/29821,NR/2024/22072/C,NR/2024/21682/A/29676,NR/2024/21156/A/29533,NR/2024/21159/A/29539,NR/2024/21146/A/29537,Total
27,06:30-06:45,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.670000,0.000000,0.670000,0.000000,21.190000,0.000000,8.670000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1659.25

28,06:45-07:00,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0.24,24.080000,0.480000,1.590000,0.670000,0.000000,0.670000,0.000000,21.190000,0.000000,8.670000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1659.49

29,07:00-07:15,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0.49,24.080000,0.480000,1.590000,0.770000,0.000000,0.670000,0.000000,21.190000,0.000000,8.670000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1659.84

30,07:15-07:30,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0.57,24.080000,0.480000,1.590000,0.770000,0.000000,0.670000,0.000000,21.190000,0.000000,8.670000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1659.92

31,07:30-07:45,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0.71,24.080000,0.480000,1.590000,0.770000,0.000000,0.670000,0.000000,21.190000,0.000000,8.670000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1660.06

32,07:45:08:00,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,1.2,24.080000,0.480000,1.590000,0.770000,0.000000,0.670000,0.000000,21.190000,0.000000,8.670000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1660.55

33,08:00-08:15,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,1.26,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,8.670000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1660.8

34,08:15-08:30,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,1.46,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,8.670000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1661

35,08:30-08:45,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,1.62,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,8.670000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1661.16

36,08:45:09:00,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,1.81,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,8.670000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1661.35

37,09:00:09:15,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,13.610000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,1.87,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,9.630000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1662.11

38,09:15-09:30,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,13.610000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,1.98,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,9.630000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1662.22

39,09:30-09:45,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,13.610000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,2.17,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,11.560000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1664.34

40,09:45-10:00,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,13.610000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,2.56,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,11.560000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1664.73

41,10:00-10:15,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,2.85,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,11.560000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1662.26

42,10:15-10:30,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,3.13,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,11.560000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1662.54

43,10:30-10:45,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,3.24,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1663.61

44,10:45-11:00,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,3.52,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1663.89

45,11:00-11:15,18.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,3.71,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1650.78

46,11:15-11:30,18.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,32.000000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,4.05,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1651.12

47,11:30-11:45,27.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,27.730000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,4.41,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1656.24

48,11:45-12:00,27.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,27.730000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,81.870000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,109.320000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,4.52,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1656.35

49,12:00-12:15,27.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,27.730000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,4.63,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1657.18

50,12:15-12:30,27.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,27.730000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,4.98,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1657.53

51,12:30-12:45,27.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,27.730000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,6.37,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1658.92

52,12:45-13:00,27.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,27.730000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,10.850000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,6.75,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1659.3

53,13:00-13:15,27.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,27.730000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,14.530000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,7.52,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1663.75

54,13:15-13:30,27.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,27.730000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,14.530000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,7.91,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1664.14

55,13:30-13:45,27.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,27.730000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,14.530000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,7.14,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1663.37

56,13:45-14:00,17.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,17.970000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,14.530000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,6.27,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1642.98

57,14:00-14:15,27.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,27.730000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,14.530000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,5.79,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1662.02

58,14:15-14:30,21.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,21.430000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,14.530000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,5.21,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1648.84

59,14:30-14:45,21.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,21.430000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,14.530000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,4.63,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1648.26

60,14:45-15:00,21.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,21.430000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,14.530000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,4.24,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1647.87

61,15:00-15:15,16.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,16.670000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,14.530000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,4.05,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1638.16

62,15:15-15:30,16.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.080000,16.670000,0.000000,12.410000,0.000000,0.000000,96.320000,0.520000,24.080000,0.000000,12.410000,37.210000,4.820000,14.530000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,48.160000,24.080000,96.320000,1.930000,96.320000,24.080000,3.86,24.080000,0.480000,1.590000,0.960000,72.240000,0.670000,0.000000,21.190000,0.000000,12.520000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1637.97

