Time,Block,NR/2024/21371/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21158/A/25371,NR/2024/20930/A/25545,NR/2024/21113/A/25586,NR/2024/21210/A/25317,NR/2024/21150/A/25361,NR/30092023/26122029/SH-06,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21142/A/25316,NR/2024/21339/A/25557,NR/2024/20711/A/25565,NR/2024/21159/A/25370,NR/2024/21373/C,NR/2024/21321/A/25356,NR/2024/21153/A/25372,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/2024/21108/A/25576,NR/2024/21238/A/25626,NR/2024/21099/A/25313,NR/2024/21023/A/25349,NR/2024/21096/A/25582,NR/2024/21072/A/25588,NR/2024/21199/A/25348,NR/2024/21076/A/25614,NR/2024/21183/A/25617,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21243/A/25334,NR/2024/21141/A/25314,NR/2024/21103/A/25579,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/R2,NR/2024/20966/A/25298,NR/2024/21146/A/25367,NR/2024/21186/A/25598,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21087/A/25402,NR/2024/21144/A/25345,NR/2024/21148/A/25368,NR/2024/20574/A/25612,NR/2024/21372/C,NR/2024/20877/A/25600,NR/2024/20688/A/25403,NR/2024/19779/A/25325,NR/2024/21075/A/25618,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21160/A/25369,NR/2024/21089/A/25587,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21062/A/25599,NR/2024/21104/A/25577,NR/2024/21156/A/25373,NR/2024/21227/A/25578,NR/2024/21152/A/25297,NR/2024/20573/A/25613,NR/2024/21173/A/25401,NR/2024/21369/C,Total
30,07:15-07:30,1.15,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,7.710000,1.590000,0.000000,0.000000,81.930000,26.910000,24.020000,2.890000,20.480000,0.000000,72.290000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.770000,11.710000,14.340000,0.970000,37.240000,81.930000,0.000000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2013.52

31,07:30-07:45,1.24,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,7.710000,1.590000,0.000000,0.000000,81.930000,26.910000,24.020000,2.890000,20.480000,0.000000,72.290000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.770000,11.710000,14.340000,0.970000,37.240000,81.930000,0.000000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2013.61

32,07:45:08:00,1.15,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,7.710000,1.590000,0.000000,0.000000,81.930000,26.910000,24.020000,2.890000,20.480000,0.000000,72.290000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.770000,11.710000,14.340000,0.970000,37.240000,81.930000,0.000000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2013.52

33,08:00-08:15,1.11,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,8.680000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,72.290000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2014.64

34,08:15-08:30,1.42,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,8.680000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,72.290000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2014.95

35,08:30-08:45,1.75,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,8.680000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2063.48

36,08:45:09:00,2.13,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,8.680000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2063.86

37,09:00:09:15,2.71,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,9.640000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2065.4

38,09:15-09:30,3.47,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,9.640000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2066.16

39,09:30-09:45,3.7,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,9.640000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2066.39

40,09:45-10:00,5.21,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,9.640000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2067.9

41,10:00-10:15,4.98,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2069.6

42,10:15-10:30,6.87,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2071.49

43,10:30-10:45,6.92,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2071.54

44,10:45-11:00,4.75,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2069.37

45,11:00-11:15,4.16,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2068.78

46,11:15-11:30,4.31,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2068.93

47,11:30-11:45,4.7,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2069.32

48,11:45-12:00,4.09,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2068.71

49,12:00-12:15,3.66,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2068.28

50,12:15-12:30,3.74,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2068.36

51,12:30-12:45,3.79,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2068.41

52,12:45-13:00,6.7,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2071.32

53,13:00-13:15,8.24,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,12.530000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2073.82

54,13:15-13:30,7.34,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,12.530000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2072.92

55,13:30-13:45,6.7,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,12.530000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2072.28

56,13:45-14:00,5.52,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,12.530000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2071.1

57,14:00-14:15,6.52,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2071.14

58,14:15-14:30,5.16,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2069.78

59,14:30-14:45,4.4,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2069.02

60,14:45-15:00,3.57,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2068.19

61,15:00-15:15,3.36,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2067.98

62,15:15-15:30,3.43,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2068.05

63,15:30-15:45,5.55,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2070.17

64,15:45-16:00,4,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.960000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2068.62

65,16:00-16:15,3.84,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2068.37

66,16:15-16:30,4.03,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2068.56

67,16:30-16:45,2.73,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2067.26

68,16:45-17:00,1.99,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2066.52

